"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_5_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID3""}",Sheet1!K3:100,"{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID59_2""}","{""ImportId"":""QID59_3""}","{""ImportId"":""QID59_4""}","{""ImportId"":""QID59_5""}","{""ImportId"":""QID26""}","{""ImportId"":""QID61""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID14_4""}","{""ImportId"":""QID14_5""}","{""ImportId"":""QID14_6""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID43_2""}","{""ImportId"":""QID43_3""}","{""ImportId"":""QID43_4""}","{""ImportId"":""QID43_5""}","{""ImportId"":""QID43_6""}","{""ImportId"":""QID56""}"
StartDate,EndDate,Duration (in seconds),Finished,RecordedDate,Q2,Q3,Q3_5_TEXT,Q4,Q5,Q6,Q7,Q8,Q52_1,Q52_2,Q52_3,Q52_4,Q52_5,Q20,Q54,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q44
Start Date,End Date,Duration (in seconds),Finished,Recorded Date,Age,What gender do you identify as?,What gender do you identify as? ,Are you an in-state or out-of-state student?,What year are you?,Which U-M school(s) do you attend? ,What is your major (or intended major if undeclared)?,"If applicable, what is your minor (or intended minor if undeclared)?","Since 2006, by what percentage has the university - reduced greenhouse gas emissions?","Since 2006, by what percentage has the university - reduced carbon output per passenger trip?","Since 2006, by what percentage has the university - reduced the amount of waste sent to landfills?","Since 2006, by what percentage has the university - increased U-M food purchased from local and sustainable sources?","Since 2006, by what percentage has the university - reduced chemical applications to campus landscapes?",Which of these goals do you believe the university will achieve by 2025?,Which of these goals do you believe the university will not achieve by 2025?,Please rate the impact you believe the following university environmental policies will have on a scale from 1 to 5.1: Not helpful for the environment5: Extremely helpful for the environment - Reduce U-M greenhouse gas emissions by 25%,Decrease vehicle carbon output per passenger trip by 30%,Reduce the amount of waste sent to landfills by 40%," Invest in programs to educate our community, track behavior and report progress over time",Purchase 20% of U-M food from local and sustainable sources by 2025.,Protect the Huron River and reduce chemical applications to campus landscapes by 40%,How well educated are you about each of the UMich campus-wide goals as mentioned above? - Reduce vehicle carbon output per passenger trip by 30%,How well educated are you about each of the UMich campus-wide goals as mentioned above? - Reduce the amount of waste sent to landfills by 40%,How well educated are you about each of the UMich campus-wide goals as mentioned above? - Increase U-M food purchased from local and sustainable sources to 20%,How well educated are you about each of the UMich campus-wide goals as mentioned above? - Reduce chemical applications to campus landscapes by 40%,How well educated are you about each of the UMich campus-wide goals as mentioned above? - What types of actions do you take to help meet the UMich campus-wide goals?,How well educated are you about each of the UMich campus-wide goals as mentioned above? - 6,"With '5' being you are better than most and '1' being you are worse than most, how do you think you stand among your peers in terms of being educated about and actively trying to protect our environment?"
11/2/21 15:52,11/2/21 15:53,64,FALSE,11/9/21 14:53,20,Male,,In-state,Junior,LSA,Computer Science,,70,72,48,30,67,Reduce carbon output per passenger trip,Increase U-M food purchased from local and sustainable sources,,,,,,,,,,,,,
11/2/21 17:26,11/2/21 17:27,56,FALSE,11/9/21 16:27,19,Female,,In-state,Sophomore,LSA,history,,28,28,46,47,41,Reduce greenhouse gas emissions,Increase U-M food purchased from local and sustainable sources,,,,,,,,,,,,,
11/2/21 17:30,11/2/21 17:31,82,TRUE,11/2/21 17:31,20,Male,,Out-of-state,Junior,Kinesiology,Movement Science,,52,61,54,57,55,Increase U-M food purchased from local and sustainable sources,Increase U-M food purchased from local and sustainable sources,3,3,3,3,3,,Moderately well,Moderately well,Moderately well,Moderately well,Moderately well,Moderately well,4
11/2/21 17:14,11/2/21 17:17,193,FALSE,11/9/21 16:17,18,Female,,Out-of-state,Freshman,Ross,Business,,18,14,47,40,44,Reduce greenhouse gas emissions,"Increase U-M food purchased from local and sustainable sources,Reduced chemical applications to campus landscapes",,,,,,,,,,,,,
11/2/21 16:30,11/2/21 16:33,131,TRUE,11/2/21 16:33,19,Female,,Out-of-state,Freshman,Engineering,Environmental Engineering,,19,17,40,40,40,"Reduce greenhouse gas emissions,Reduce the amount of waste sent to landfills,Increase U-M food purchased from local and sustainable sources,Reduced chemical applications to campus landscapes",Reduce carbon output per passenger trip,2,2,2,4,3,3,Slightly well,Slightly well,Slightly well,Slightly well,Moderately well,Moderately well,3
11/2/21 17:40,11/2/21 17:42,167,TRUE,11/2/21 17:42,18,Male,,Out-of-state,Sophomore,LSA,Economics and Math,Business,15,20,20,6,27,"Reduce greenhouse gas emissions,Reduce the amount of waste sent to landfills","Reduce carbon output per passenger trip,Increase U-M food purchased from local and sustainable sources,Reduced chemical applications to campus landscapes",4,4,4,Click to write Scale Point 5,3,4,Moderately well,Moderately well,Slightly well,Moderately well,Moderately well,Moderately well,3
11/2/21 16:43,11/2/21 16:48,323,TRUE,11/2/21 16:48,21,Male,,In-state,Senior,Engineering,Computer Engineering,Entrepreneurship,15,20,12,35,26,"Reduce greenhouse gas emissions,Increase U-M food purchased from local and sustainable sources,Reduced chemical applications to campus landscapes","Reduce carbon output per passenger trip,Reduce the amount of waste sent to landfills",3,1,2,2,4,Click to write Scale Point 5,Not well at all,Slightly well,Slightly well,Not well at all,Moderately well,Moderately well,4
11/2/21 16:45,11/2/21 16:49,199,TRUE,11/2/21 16:49,18,Female,,In-state,Freshman,Engineering,engineering(idk which type yet),art and design,71,50,18,81,67,"Reduce greenhouse gas emissions,Increase U-M food purchased from local and sustainable sources,Reduced chemical applications to campus landscapes","Reduce carbon output per passenger trip,Reduce the amount of waste sent to landfills",Click to write Scale Point 5,Click to write Scale Point 5,Click to write Scale Point 5,Click to write Scale Point 5,Click to write Scale Point 5,Click to write Scale Point 5,Not well at all,Not well at all,Not well at all,Not well at all,Not well at all,Not well at all,2
11/2/21 17:41,11/2/21 17:43,131,TRUE,11/2/21 17:43,19,Female,,In-state,Freshman,LSA,PPE,,20,11,3,6,8,"Reduce greenhouse gas emissions,Increase U-M food purchased from local and sustainable sources,Reduced chemical applications to campus landscapes","Reduce carbon output per passenger trip,Reduce the amount of waste sent to landfills",4,4,4,3,Click to write Scale Point 5,Click to write Scale Point 5,Not well at all,Not well at all,Not well at all,Not well at all,Not well at all,Slightly well,2
11/3/21 15:12,11/3/21 15:16,259,TRUE,11/3/21 15:16,20,Female,,Out-of-state,Sophomore,LSA,English,,35,11,0,40,73,Increase U-M food purchased from local and sustainable sources,"Reduce carbon output per passenger trip,Reduce the amount of waste sent to landfills",4,3,Click to write Scale Point 5,3,3,Click to write Scale Point 5,Not well at all,Not well at all,Moderately well,Slightly well,Moderately well,Moderately well,3
11/2/21 15:52,11/2/21 15:55,181,TRUE,11/2/21 15:55,20,Female,,Out-of-state,Junior,Multiple,English,Education,8,14,15,9,9,Reduce greenhouse gas emissions,"Reduce carbon output per passenger trip,Reduce the amount of waste sent to landfills,Increase U-M food purchased from local and sustainable sources,Reduced chemical applications to campus landscapes",Click to write Scale Point 5,Click to write Scale Point 5,Click to write Scale Point 5,,Click to write Scale Point 5,Click to write Scale Point 5,Slightly well,Slightly well,Slightly well,Slightly well,Slightly well,Not well at all,3
11/2/21 16:31,11/2/21 16:32,95,TRUE,11/2/21 16:32,19,Female,,In-state,Sophomore,LSA,Public health,Asian studies,45,56,55,62,58,"Reduce greenhouse gas emissions,Reduce the amount of waste sent to landfills,Increase U-M food purchased from local and sustainable sources","Reduce carbon output per passenger trip,Reduced chemical applications to campus landscapes",3,3,3,3,4,4,Not well at all,Not well at all,Not well at all,Not well at all,Not well at all,Not well at all,2
11/2/21 16:31,11/2/21 16:35,187,TRUE,11/2/21 16:35,19,Female,,In-state,Sophomore,LSA,Intended: public policy,,55,44,60,75,45,"Reduce greenhouse gas emissions,Reduce the amount of waste sent to landfills,Increase U-M food purchased from local and sustainable sources","Reduce carbon output per passenger trip,Reduced chemical applications to campus landscapes",3,3,3,1,Click to write Scale Point 5,Click to write Scale Point 5,Not well at all,Not well at all,Not well at all,Not well at all,Not well at all,Not well at all,2
