Location,2018_Per_capita_personal_income_in_dollars,2019_Per_capita_personal_income_in_dollars,2020_Per_capita_personal_income_in_dollars,2019_Percent_change,2020_Percent_change
United States,"54,098","56,047","59,510",3.6,6.2
Alabama,"42,328","43,996","46,479",3.9,5.6
Autauga,"42,931","44,368","46,814",3.3,5.5
Baldwin,"46,905","48,270","50,953",2.9,5.6
Barbour,"34,064","35,572","37,850",4.4,6.4
Bibb,"30,250","31,540","34,300",4.3,8.8
Blount,"35,905","36,969","38,808",3.0,5.0
Bullock,"26,841","28,136","31,944",4.8,13.5
Butler,"35,932","38,073","39,988",6.0,5.0
Calhoun,"36,482","37,708","40,195",3.4,6.6
Chambers,"34,055","36,110","38,508",6.0,6.6
Cherokee,"35,647","36,381","37,869",2.1,4.1
Chilton,"34,982","36,471","38,778",4.3,6.3
Choctaw,"38,200","39,097","42,231",2.3,8.0
Clarke,"35,437","37,061","40,822",4.6,10.1
Clay,"33,131","34,185","37,179",3.2,8.8
Cleburne,"35,668","35,905","37,734",0.7,5.1
Coffee,"42,176","43,319","45,262",2.7,4.5
Colbert,"37,601","38,860","41,941",3.3,7.9
Conecuh,"32,588","33,596","36,908",3.1,9.9
Coosa,"31,344","32,548","34,683",3.8,6.6
Covington,"35,487","35,927","37,930",1.2,5.6
Crenshaw,"36,283","36,783","38,161",1.4,3.7
Cullman,"39,525","41,211","42,659",4.3,3.5
Dale,"36,497","37,831","40,111",3.7,6.0
Dallas,"34,915","37,033","41,195",6.1,11.2
DeKalb,"32,196","33,427","35,100",3.8,5.0
Elmore,"42,956","44,561","47,270",3.7,6.1
Escambia,"32,445","34,338","37,137",5.8,8.2
Etowah,"36,583","37,700","39,852",3.1,5.7
Fayette,"34,231","35,856","38,001",4.7,6.0
Franklin,"33,951","34,831","37,362",2.6,7.3
Geneva,"34,708","36,455","38,358",5.0,5.2
Greene,"30,762","32,534","35,992",5.8,10.6
Hale,"35,615","37,825","41,190",6.2,8.9
Henry,"42,010","43,738","45,409",4.1,3.8
Houston,"42,611","44,300","47,072",4.0,6.3
Jackson,"36,672","38,002","40,089",3.6,5.5
Jefferson,"54,777","56,599","58,424",3.3,3.2
Lamar,"33,022","34,549","37,161",4.6,7.6
Lauderdale,"36,712","38,135","40,729",3.9,6.8
Lawrence,"33,900","35,414","38,098",4.5,7.6
Lee,"38,184","40,439","42,468",5.9,5.0
Limestone,"43,495","44,841","47,695",3.1,6.4
Lowndes,"39,544","41,449","44,921",4.8,8.4
Macon,"32,321","34,213","37,834",5.9,10.6
Madison,"51,759","54,169","57,128",4.7,5.5
Marengo,"39,217","40,297","43,854",2.8,8.8
Marion,"32,459","33,433","36,330",3.0,8.7
Marshall,"35,990","37,913","40,045",5.3,5.6
Mobile,"38,195","40,003","42,823",4.7,7.0
Monroe,"32,808","34,489","38,192",5.1,10.7
Montgomery,"43,442","44,597","47,776",2.7,7.1
Morgan,"39,908","41,895","44,679",5.0,6.6
Perry,"30,795","32,198","36,217",4.6,12.5
Pickens,"32,981","34,590","36,861",4.9,6.6
Pike,"36,785","38,057","40,342",3.5,6.0
Randolph,"32,974","33,708","35,208",2.2,4.4
Russell,"32,270","33,796","36,526",4.7,8.1
St. Clair,"39,658","41,015","43,279",3.4,5.5
Shelby,"55,482","57,793","59,588",4.2,3.1
Sumter,"30,492","32,057","35,310",5.1,10.1
Talladega,"34,277","35,717","38,300",4.2,7.2
Tallapoosa,"40,576","42,544","45,058",4.9,5.9
